date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:58:08	86264/86264	---M-Z	200	added ('OK')	text/html	date:Sun,%2012%20Mar%202023%2008:13:08%20GMT	https://retail.sc.com/np/ibank/foa/login.htm	/home/sakar/websites/test2/retail.sc.com/np/ibank/foa/login.html	(from )
13:58:11	272/272	---M--	503	error ('Service%20Unavailable')	text/html	date:Sun,%2012%20Mar%202023%2008:13:11%20GMT	https://retail.sc.com/robots.txt		(from )
13:58:11	2231/2231	---M--	404	error ('Not%20Found')	text/html	date:Sun,%2012%20Mar%202023%2008:13:11%20GMT	https://retail.sc.com/np/ibank/foa/iconfilename-precomposed.png	/home/sakar/websites/test2/retail.sc.com/np/ibank/foa/iconfilename-precomposed.png	(from https://retail.sc.com/np/ibank/foa/login.htm)
13:58:12	3588/3588	---M-Z	200	added ('OK')	application/javascript	date:Wed,%2007%20Dec%202022%2004:25:08%20GMT	https://retail.sc.com/np/ibank/foa/scb/newGUI/uxUplift/MerchantPayment.js?1	/home/sakar/websites/test2/retail.sc.com/np/ibank/foa/scb/newGUI/uxUplift/MerchantPaymentc4ca.js	(from https://retail.sc.com/np/ibank/foa/login.htm)
13:58:13	2803/2803	---M-Z	200	added ('OK')	application/javascript	date:Wed,%2007%20Dec%202022%2004:25:08%20GMT	https://retail.sc.com/np/ibank/foa/scb/newGUI/uxUplift/scbt.js?1	/home/sakar/websites/test2/retail.sc.com/np/ibank/foa/scb/newGUI/uxUplift/scbtc4ca.js	(from https://retail.sc.com/np/ibank/foa/login.htm)
13:58:14	13221/13221	---M-Z	200	added ('OK')	application/javascript	date:Wed,%2007%20Dec%202022%2004:25:08%20GMT	https://retail.sc.com/np/ibank/foa/scb/newGUI/uxUplift/aes.js?1	/home/sakar/websites/test2/retail.sc.com/np/ibank/foa/scb/newGUI/uxUplift/aesc4ca.js	(from https://retail.sc.com/np/ibank/foa/login.htm)
13:58:15	7925/7925	---M-Z	200	added ('OK')	text/css	date:Wed,%2007%20Dec%202022%2004:25:08%20GMT	https://retail.sc.com/np/ibank/foa/scb/newGUI/uxUplift/dist/css/libs/pickadate.js/lib/compressed/themes/default.all.css	/home/sakar/websites/test2/retail.sc.com/np/ibank/foa/scb/newGUI/uxUplift/dist/css/libs/pickadate.js/lib/compressed/themes/default.all.css	(from https://retail.sc.com/np/ibank/foa/login.htm)
13:58:16	5583/5583	---M-Z	200	added ('OK')	text/css	date:Wed,%2007%20Dec%202022%2004:25:08%20GMT	https://retail.sc.com/np/ibank/foa/scb/newGUI/uxUplift/dist/css/libs/vendor.min.css	/home/sakar/websites/test2/retail.sc.com/np/ibank/foa/scb/newGUI/uxUplift/dist/css/libs/vendor.min.css	(from https://retail.sc.com/np/ibank/foa/login.htm)
13:58:17	256032/256032	---M-Z	200	added ('OK')	text/css	date:Wed,%2007%20Dec%202022%2004:25:08%20GMT	https://retail.sc.com/np/ibank/foa/scb/newGUI/uxUplift/dist/css/sc.uplift.aprs.min.css	/home/sakar/websites/test2/retail.sc.com/np/ibank/foa/scb/newGUI/uxUplift/dist/css/sc.uplift.aprs.min.css	(from https://retail.sc.com/np/ibank/foa/login.htm)
13:58:18	10303/10303	---M-Z	200	added ('OK')	text/css	date:Wed,%2007%20Dec%202022%2004:25:08%20GMT	https://retail.sc.com/np/ibank/foa/scb/newGUI/uxUplift/dist/css/sc.responsive.min.css	/home/sakar/websites/test2/retail.sc.com/np/ibank/foa/scb/newGUI/uxUplift/dist/css/sc.responsive.min.css	(from https://retail.sc.com/np/ibank/foa/login.htm)
